acc,area_ratio,area_opt_ratio,total_area,crossover_rate,mutation_rate,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42,layer_43,layer_44,layer_45,layer_46,layer_47,layer_48,layer_49,layer_50,layer_51,layer_52,layer_53,layer_54,layer_55,layer_56,layer_57,layer_58,layer_59,layer_60,layer_61,layer_62,layer_63,layer_64,layer_65,layer_66,layer_67,layer_68,layer_69,layer_70,layer_71,layer_72,layer_73,layer_74,layer_75,layer_76,layer_77,layer_78,layer_79,layer_80,layer_81,layer_82,layer_83,layer_84,layer_85,layer_86,layer_87,layer_88,layer_89,layer_90,layer_91,layer_92,layer_93,layer_94,layer_95
76.32,0.25028647763775624,2.9954216042279223,1561305.3173759996,0.7586000830771371,0.08570226886844011,17,15,11,14,5,14,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12
79.35,0.2710896960711636,2.688815969373806,1691077.3125119994,0.8068923338112793,0.03908974708122072,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,12,12,14,0,10,16,12,17,11,13,14,0,10,16,12,17,11,12,14,0,10,16,12,20,15,11,14,10,16,14,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,13,20,15,11,17,10,16,15,12,17,15,11,14,10,14,16,12,20,15,14,14,10,16,16,12
83.57,0.3217900605386705,2.107616184061182,2007349.886976,0.7763728361607289,0.042828898076882574,16,15,10,14,0,10,6,10,16,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,15,18,5,16,16,15,20,19,15,18,5,16,16,15,22,15,11,14,5,16,16,12
79.17,0.27201167531504805,2.6763127863603096,1696828.6863359995,0.8184137630344596,0.06974285764669998,17,11,15,14,0,10,16,12,17,19,15,18,5,10,6,11,17,19,15,18,5,10,6,11,17,19,15,18,5,10,6,12,17,11,13,14,0,10,16,12,17,11,12,14,0,10,16,12,20,15,11,14,10,16,14,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,13,20,15,11,17,10,16,15,12,20,15,11,14,10,16,16,12,20,15,14,14,10,16,16,12
80.8,0.26619563874474905,2.756635550888513,1660547.8256639997,0.7775169734619282,0.07787425989763054,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,17,1,12,7,11,17,11,12,14,0,14,7,12,20,15,8,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,15,18,5,10,16,7,20,15,11,14,10,16,16,12,20,15,12,14,10,16,16,12,20,15,11,14,11,16,16,12,20,15,11,14,11,16,16,12,20,15,11,14,10,16,16,12
84.68,0.3453244687422782,1.8958272306684352,2154159.2432640004,0.7546954389535899,0.08134466550086805,17,11,15,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,7,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10
84.28,0.3453947368421052,1.895238095238096,2154597.5808,0.7591501096000541,0.09962749105178725,20,15,11,14,5,10,16,7,20,15,11,14,5,10,6,5,17,15,11,14,5,10,6,5,17,15,11,14,5,10,6,5,17,15,11,14,5,10,6,5,17,15,11,14,5,10,6,5,17,15,11,14,0,10,6,11,22,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,0,14,13,7,19,15,14,14,0,14,16,7
84.05,0.35396126760563373,1.8251678686893813,2208036.2250240003,0.7637002388970588,0.10159857522285826,17,11,15,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,5,17,15,11,14,0,10,6,11,22,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,0,14,13,7,19,15,14,14,0,14,16,7
84.59,0.35599132073140594,1.809057248770669,2220699.8446080005,0.7482678265677537,0.09303811943093543,16,15,10,14,0,10,6,10,16,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,5,10,6,5,17,15,11,14,5,10,6,5,17,15,11,14,5,10,6,5,17,15,11,14,5,10,6,5,17,15,11,14,5,10,6,12,20,19,15,14,0,10,16,12,20,19,15,14,0,10,16,12,20,19,15,14,0,10,16,12
72.95,0.2420357672349889,3.131620757642464,1509836.7836160006,0.8136423330253063,0.05589634679077689,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12
83.8,0.3319588584136397,2.0124214933705513,2070783.5904000006,0.7679202338849509,0.052103543462410896,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,11,14,0,10,6,11,22,15,11,14,0,10,6,11,22,15,11,14,0,10,6,11,22,15,11,14,0,10,6,11,22,15,11,14,0,10,6,11,22,15,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12
81.41,0.27311897702001475,2.6614079728583557,1703736.1152,0.7803076205104735,0.07028139605619961,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12
71.8,0.23305226093402512,3.2908830662796724,1453797.015552,0.8200555127820658,0.03899640549893883,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12
85.02,0.34484957993575477,1.8998150445370974,2151196.852224,0.8307433210272798,0.04610877006246002,17,11,15,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12
85.72,0.375815418828762,1.6608807140391537,2344364.0156160006,0.7529106832346957,0.1069007877204895,17,11,12,14,0,14,7,11,17,11,12,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,15,14,0,10,16,12,20,19,15,14,0,10,16,12,20,19,15,14,0,10,16,12
84.21,0.32656211391153944,2.062204577322415,2037118.3042560008,0.7677970880192131,0.09272621385684988,17,11,15,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,12,14,0,14,7,11,17,11,12,14,0,14,7,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,6,5,17,15,11,14,5,10,6,5,17,15,11,14,5,10,6,12,20,19,15,14,0,10,16,12,20,19,15,14,0,10,16,12,20,19,15,14,0,10,16,12
86.13,0.3801496478873239,1.630543012620123,2371401.2528640004,0.7353429855333755,0.11169017446802265,17,11,15,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,0,10,16,12
78.88,0.26176179886335543,2.8202671449473753,1632889.2088319997,0.8263597775038417,0.07788545312282685,15,15,10,14,0,10,6,10,16,11,12,14,0,14,7,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,18,15,11,14,10,16,16,10,20,15,11,14,10,19,13,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,14,16,12,20,15,11,14,10,16,16,12,20,15,11,14,13,16,16,12,20,15,11,14,10,8,16,12
86.74,0.41281504818383974,1.422392314426164,2575170.404352,0.7862590431479674,0.09138764002662333,17,11,15,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,16,12
80.23,0.26545666543118346,2.767093202861159,1655938.0561919997,0.8261324086402542,0.08324090552118843,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,19,15,14,0,9,16,12
81.93,0.28464062886088465,2.5132019065652798,1775609.0204160006,0.8246430450538064,0.10327626662220879,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,0,10,16,12
71.4,0.23390706078576723,3.275202281798105,1459129.3194240003,0.8259266198882741,0.058771152726986714,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,5,16,16,12,20,19,15,14,0,9,16,12
77.62,0.36160427477143553,1.7654540329537984,2255713.861632,0.7484905769802451,0.07874744035545936,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,6,10
78.34,0.26443970842599446,2.781580330549555,1649594.2041599997,0.8051906684406126,0.08386404343836568,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,11,15,14,0,10,16,12,17,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,10,16,7,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12
73.54,0.26964881393624907,2.7085273448909817,1682088.9845760004,0.7873127524209775,0.06719478134549782,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,16,16,12,20,15,11,14,10,10,6,10,16,15,10,14,0,10,6,10,16,15,10,14,0,10,16,12,17,11,15,14,0,10,16,12
80.41,0.2684990425006177,2.7244080674801645,1674916.626432,0.826263579648133,0.06314515790846831,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,11,17,11,12,14,0,14,7,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,15,11,14,5,16,16,12,20,19,15,14,0,9,16,12
